source,target,links
Lisa97, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
JenChuLiChaeng ❄," Both @BLACKPINK #LISA and #ROS\xc3\x89 won ""Artist Award (Female Solo TOP 3)"" at #2021HanteoMusicAwards.\n\nCongratulations CHAE\xe2\x80\xa6'",1
J PC.³²⁷⁰💜💛❤, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
•Emily•," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
Jichu :), Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Kween KeeLa Kamarudin 🏴, SUPER PROUD OF THESE QUEENS  #ROS\xc3\x89 &amp; #LISA \xf0\x9f\x91\x91\n\nCONGRATULATIONS LISA &amp; ROS\xc3\x89  for winning Best Female Solo \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xe2\x80\xa6',1
𝙙𝙖𝙞𝙨𝙮 ✨❄️, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
LYN❤️💗🖤6️⃣5️⃣🎹," today is twenty seven, her bday is her lucky number indeed. \n\nCongratulations Lisa \nLALISA APMA SOTY https",1
Rosario Kim 💛," [INFO] \xc2\xa1\'#LALISA\' de #LISA gan\xc3\xb3 ""Canci\xc3\xb3n del a\xc3\xb1o (en el extranjero)"" en los Asian Pop Music Awards 2021!\n\nCONGRATULATIONS L\xe2\x80\xa6'",1
:) Carol 🇨🇴 :)," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
Kumapongda, Congratulations #LISA \xf0\x9f\x8e\x89\xf0\x9f\xa5\xb3 \xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x86\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a \xe0\xb8\xab\xe0\xb8\xad\xe0\xb8\xa1\xe0\xb8\xab\xe0\xb8\xb1\xe0\xb8\xa7\xf0\x9f\x98\x8d\n\n#LISA #LALISA https,1
🖤bp, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
LYN❤️💗🖤6️⃣5️⃣🎹, Another achievement for my love. Congratulations LISA!! \n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
รัก จริง," #LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021! \n\nCONGRATULATIONS LISA! \xf0\x9f\x91\x8f\nWE ARE SO PROUD\xe2\x80\xa6'",1
LYN❤️💗🖤6️⃣5️⃣🎹," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
rixse__, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
liv🧣(Taylor’s Version), Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
LYN❤️💗🖤6️⃣5️⃣🎹, LALISA by #LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! We are very proud of you Queen L. \xf0\x9f\x91\xb8\n\nCo\xe2\x80\xa6',1
Sofi♡ | V DAY IS COMING¡!, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
888oil88, \xe0\xb8\x99\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x81\xe0\xb8\xa9\xe0\xb8\xb2\xe0\xb8\x95\xe0\xb8\xb1\xe0\xb8\xa7\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb8\x9e\xe0\xb8\xad\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa3\xe0\xb8\xb9\xe0\xb9\x89\xe0\xb8\x82\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb8\x94\xe0\xb8\xb5\xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\x95\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb8\xa5\xe0\xb8\xb4\xe0\xb8\x8a \xe0\xb8\xa2\xe0\xb8\xb4\xe0\xb9\x89\xe0\xb8\xa1\xe0\xb9\x81\xe0\xb8\x81\xe0\xb9\x89\xe0\xb8\xa1\xe0\xb9\x81\xe0\xb8\x95\xe0\xb8\x81\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb2\xf0\x9f\x98\x81\nAsian Pop Music Awards 2021 \nSong of The Year - LALISA \nPeople\xe2\x80\x99s C\xe2\x80\xa6',1
𝐠𝐢𝐭𝐚 | ia 📚, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
•Emily•, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
❄️SNOWDROP ❄️ Eun Youngro, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
VVLL💚💜, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Max___, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
